Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Akki4A,10/14/2020 5:38,0:00:27,Autoplayed: user action: None; ,Friends: Season 5: The One with the Inappropriate Sister (Episode 10),,Chrome PC (Cadmium),0:00:27,Not latest view,IN (India)
Akki4A,10/14/2020 5:15,0:21:56,,Friends: Season 5: The One with Ross's Sandwich (Episode 9),,Chrome PC (Cadmium),0:22:08,0:22:08,IN (India)
Akki4A,10/13/2020 15:45,0:08:22,,Friends: Season 5: The One with All the Thanksgivings (Episode 8),,Apple iPhone 6s,0:22:06,0:22:06,IN (India)
Akki4A,10/13/2020 15:45,0:00:11,,Friends: Season 5: The One with Ross's Sandwich (Episode 9),,Apple iPhone 6s,0:00:11,Not latest view,IN (India)
Akki4A,10/13/2020 15:28,0:13:21,Autoplayed: user action: None; ,Friends: Season 5: The One with All the Thanksgivings (Episode 8),,Apple iPhone 6s,0:13:43,Not latest view,IN (India)
Akki4A,10/13/2020 15:18,0:10:00,,Friends: Season 5: The One Where Ross Moves In (Episode 7),,Apple iPhone 6s,0:22:07,0:22:07,IN (India)
Akki4A,10/13/2020 15:17,0:00:08,,Friends: Season 5: The One Where Ross Moves In (Episode 7),,Apple iPhone 6s,0:12:07,Not latest view,IN (India)
Akki4A,10/13/2020 15:17,0:00:01,,Friends: Season 5: The One Where Ross Moves In (Episode 7),,Apple iPhone 6s,0:11:59,Not latest view,IN (India)
Akki4A,10/13/2020 14:48,0:03:50,,Don Jon,,Apple iPhone 6s,0:23:47,Not latest view,IN (India)
Akki4A,10/13/2020 11:33,0:11:53,,Friends: Season 5: The One Where Ross Moves In (Episode 7),,Apple iPhone 6s,0:11:58,Not latest view,IN (India)
Akki4A,10/13/2020 11:33,0:00:05,Autoplayed: user action: None; ,Friends: Season 1_hook_primary_16x9,HOOK,Apple iPhone 6s,0:00:06,0:00:06,IN (India)
Akki4A,10/13/2020 11:33,0:00:02,,Friends: Season 5: The One with All the Thanksgivings (Episode 8),,Apple iPhone 6s,0:00:03,Not latest view,IN (India)
Akki4A,10/13/2020 11:32,0:00:05,,Friends: Season 5: The One Where Ross Moves In (Episode 7),,Apple iPhone 6s,0:00:05,Not latest view,IN (India)
Akki4A,10/13/2020 5:40,0:22:04,Autoplayed: user action: None; ,Friends: Season 5: The One with the Yeti (Episode 6),,Chrome PC (Cadmium),0:22:04,0:22:04,IN (India)
Akki4A,10/13/2020 5:27,0:11:15,,Friends: Season 5: The One with the Kips (Episode 5),,Chrome PC (Cadmium),0:22:08,0:22:08,IN (India)
Akki4A,10/12/2020 14:31,0:10:53,,Friends: Season 5: The One with the Kips (Episode 5),,Chrome PC (Cadmium),0:10:53,Not latest view,IN (India)
Akki4A,10/12/2020 14:31,0:00:30,Autoplayed: user action: None; ,Season 1 Teaser: Emily in Paris,TEASER_TRAILER,Chrome PC (Cadmium),0:00:30,0:00:30,IN (India)
Akki4A,10/12/2020 6:49,0:00:08,Autoplayed: user action: None; ,Friends: Season 5: The One with the Kips (Episode 5),,Chrome PC (Cadmium),0:00:08,Not latest view,IN (India)
Akki4A,10/12/2020 6:22,0:22:07,Autoplayed: user action: None; ,Friends: Season 5: The One Where Phoebe Hates PBS (Episode 4),,Chrome PC (Cadmium),0:22:07,0:22:07,IN (India)
Akki4A,10/12/2020 6:09,0:10:19,,Friends: Season 5: The One Hundredth (Episode 3),,Chrome PC (Cadmium),0:22:08,0:22:08,IN (India)
Akki4A,10/12/2020 6:08,0:00:06,Autoplayed: user action: None; ,Trailer: Òlòtūré,TRAILER,Chrome PC (Cadmium),0:00:06,0:00:06,IN (India)
Akki4A,10/11/2020 11:44,1:35:00,,Hubie Halloween,,Chrome PC (Cadmium),1:34:40,1:34:40,IN (India)
Akki4A,10/11/2020 11:11,0:11:21,Autoplayed: user action: None; ,Friends: Season 5: The One Hundredth (Episode 3),,Chrome PC (Cadmium),0:11:49,Not latest view,IN (India)
Akki4A,10/11/2020 11:08,0:02:18,,Friends: Season 5: The One with All the Kissing (Episode 2),,Chrome PC (Cadmium),0:22:08,0:22:08,IN (India)
Akki4A,10/11/2020 11:03,0:00:04,Autoplayed: user action: None; ,Clip 3: The Haunting of Bly Manor,HOOK,Chrome PC (Cadmium),0:00:02,0:00:02,IN (India)
Akki4A,10/11/2020 6:39,0:19:50,,Friends: Season 5: The One with All the Kissing (Episode 2),,Chrome PC (Cadmium),0:19:50,Not latest view,IN (India)
Akki4A,10/11/2020 6:39,0:00:04,,Friends: Season 5: The One After Ross Says Rachel (Episode 1),,Chrome PC (Cadmium),0:20:30,0:20:30,IN (India)
Akki4A,10/11/2020 6:15,0:19:44,,Jaane Tu... Ya Jaane Na,,Chrome PC (Cadmium),0:20:24,Not latest view,IN (India)
Akki4A,10/11/2020 6:14,0:00:04,Autoplayed: user action: None; ,Clip 3: The Haunting of Bly Manor,HOOK,Chrome PC (Cadmium),0:00:04,Not latest view,IN (India)
Akki4A,10/10/2020 15:29,0:15:13,,Friends: Season 5: The One After Ross Says Rachel (Episode 1),,Chrome PC (Cadmium),0:20:26,Not latest view,IN (India)
Akki4A,10/10/2020 15:29,0:00:09,,Friends: Season 4: The One with Ross's Wedding: Part 2 (Episode 24),,Chrome PC (Cadmium),0:12:02,0:12:02,IN (India)
Akki4A,10/10/2020 6:48,0:11:15,Autoplayed: user action: None; ,Friends: Season 4: The One with Ross's Wedding: Part 2 (Episode 24),,Chrome PC (Cadmium),0:11:53,Not latest view,IN (India)
Akki4A,10/10/2020 6:41,0:07:21,,Friends: Season 4: The One with Ross's Wedding: Part 1 (Episode 23),,Chrome PC (Cadmium),0:22:07,0:22:07,IN (India)
